Analysis,Row,Identifier 1,Identifier 2,Comment,Peak Nr,Rt,Area All,R 45N2O/44N2O,R 46N2O/44N2O,Inj Vol,Sample ID,Min Funct,d15N,d18O,R15,R17,R18
M-73021,74,USGS35,Cal,a4,5,563,39.512,0.0077482,0.0021031,,,,,,,,
M-73021,74,USGS35,Cal,a4,6,613,39.072,0.0077475,0.0021028,,,,,,,,
M-73021,74,USGS35,Cal,a4,7,1091,123.832,0.0077842,0.0022181,1,,4.56E-08,4.426241,97.88226,0.003693,0.000399,0.002201
M-73022,75,USGS35,Cal,o6,1,123.1,39.373,0.0077479,0.0021028,,,,,,,,
M-73022,75,USGS35,Cal,o6,2,165.1,39.528,0.0077474,0.0021025,,,,,,,,
M-73022,75,USGS35,Cal,o6,3,463.8,39.439,0.0077483,0.0021027,,,,,,,,
M-73022,75,USGS35,Cal,o6,4,513.3,39.494,0.0077482,0.0021029,,,,,,,,
M-73022,75,USGS35,Cal,o6,5,563,39.239,0.0077482,0.0021026,,,,,,,,
M-73022,75,USGS35,Cal,o6,6,610.7,39.412,0.0077475,0.0021028,,,,,,,,
M-73022,75,USGS35,Cal,o6,7,1090.1,125.387,0.0077837,0.0022177,1,,1.26E-07,4.364322,97.64365,0.003693,0.000399,0.002201
M-73023,76,USGS34,Cal,d2,1,124.4,39.484,0.0077482,0.0021031,,,,,,,,
M-73023,76,USGS34,Cal,d2,2,163.4,39.625,0.0077474,0.002103,,,,,,,,
M-73023,76,USGS34,Cal,d2,3,456.5,39.517,0.007748,0.0021032,,,,,,,,
M-73023,76,USGS34,Cal,d2,4,513.3,39.218,0.0077484,0.002103,,,,,,,,
M-73023,76,USGS34,Cal,d2,5,562.4,39.571,0.0077483,0.002103,,,,,,,,
M-73023,76,USGS34,Cal,d2,6,612.8,39.399,0.0077475,0.0021028,,,,,,,,
M-73023,76,USGS34,Cal,d2,7,1089.1,41.407,0.0077239,0.0020465,1,,1.76E-09,-1.55558,12.47589,0.003671,0.000382,0.00203
M-73024,77,USGS34,Cal,l5,1,125.4,39.564,0.0077482,0.0021031,,,,,,,,
M-73024,77,USGS34,Cal,l5,2,165.1,39.463,0.0077475,0.0021031,,,,,,,,
M-73024,77,USGS34,Cal,l5,3,463.8,39.167,0.0077484,0.0021031,,,,,,,,
M-73024,77,USGS34,Cal,l5,4,501.2,39.424,0.0077481,0.0021031,,,,,,,,
M-73024,77,USGS34,Cal,l5,5,563,39.446,0.0077476,0.0021028,,,,,,,,
M-73024,77,USGS34,Cal,l5,6,613,39.418,0.0077475,0.0021028,,,,,,,,
M-73024,77,USGS34,Cal,l5,7,1088.3,122.998,0.0077253,0.0020469,1,,3.89E-09,-1.37036,12.67142,0.003671,0.000382,0.002031
M-73025,78,Acros 1ml,HS-Drift,q8,1,125.4,39.235,0.0077486,0.0021034,,,,,,,,
M-73025,78,Acros 1ml,HS-Drift,q8,2,164.5,39.414,0.0077481,0.002103,,,,,,,,
M-73025,78,Acros 1ml,HS-Drift,q8,3,463.8,39.258,0.0077488,0.0021032,,,,,,,,
M-73025,78,Acros 1ml,HS-Drift,q8,4,513.3,39.367,0.0077485,0.0021032,,,,,,,,
M-73025,78,Acros 1ml,HS-Drift,q8,5,563.3,39.403,0.0077482,0.0021032,,,,,,,,
M-73025,78,Acros 1ml,HS-Drift,q8,6,612.8,39.252,0.0077475,0.0021028,,,,,,,,
M-73025,78,Acros 1ml,HS-Drift,q8,7,1089.5,179.739,0.007855,0.0021562,1,,5.20E-10,14.84992,66.89966,0.003731,0.000393,0.002139
M-73026,79,18,R-Example2,a8,1,125.4,39.206,0.0077479,0.0021029,,,,,,,,
M-73026,79,18,R-Example2,a8,2,161.8,39.326,0.0077478,0.0021029,,,,,,,,
M-73026,79,18,R-Example2,a8,3,463.8,39.385,0.0077485,0.002103,,,,,,,,
M-73026,79,18,R-Example2,a8,4,513.3,39.35,0.0077479,0.0021028,,,,,,,,
M-73026,79,18,R-Example2,a8,5,563,39.432,0.0077477,0.0021028,,,,,,,,
M-73026,79,18,R-Example2,a8,6,612.8,39.404,0.0077475,0.0021028,,,,,,,,
M-73026,79,18,R-Example2,a8,7,1086.4,335.636,0.0078488,0.0021217,1.3,SIU-32,2.02E-07,14.45514,49.61225,0.00373,0.00039,0.002105
M-73027,80,18 rep,R-Example2,h4,1,125.4,39.445,0.007748,0.0021031,,,,,,,,
M-73027,80,18 rep,R-Example2,h4,2,165.1,39.59,0.0077478,0.002103,,,,,,,,
M-73027,80,18 rep,R-Example2,h4,3,463.8,39.493,0.0077486,0.0021031,,,,,,,,
M-73027,80,18 rep,R-Example2,h4,4,513.3,39.467,0.0077478,0.002103,,,,,,,,
M-73027,80,18 rep,R-Example2,h4,5,563,39.536,0.007748,0.0021032,,,,,,,,
M-73027,80,18 rep,R-Example2,h4,6,613,39.292,0.0077475,0.0021028,,,,,,,,
M-73027,80,18 rep,R-Example2,h4,7,1086.8,339.79,0.0078487,0.0021217,1.3,SIU-32,2.02E-07,14.44154,49.61246,0.00373,0.00039,0.002105
M-73028,81,1,R-Example3,f8,1,123.7,39.316,0.0077477,0.0021029,,,,,,,,
M-73028,81,1,R-Example3,f8,2,165.1,39.42,0.0077474,0.0021028,,,,,,,,
M-73028,81,1,R-Example3,f8,3,463.8,39.32,0.0077485,0.002103,,,,,,,,
M-73028,81,1,R-Example3,f8,4,513.5,39.286,0.0077477,0.0021028,,,,,,,,
M-73028,81,1,R-Example3,f8,5,563.3,39.15,0.0077479,0.002103,,,,,,,,
M-73028,81,1,R-Example3,f8,6,610.1,39.159,0.0077475,0.0021028,,,,,,,,
M-73028,81,1,R-Example3,f8,7,1088.9,230.197,0.0076565,0.00208,0.26,WR305417,1.22E-07,-11.1647,29.25266,0.003635,0.000386,0.002064
M-73029,82,2,R-Example3,k1,1,125.4,39.173,0.007749,0.002103,,,,,,,,
M-73029,82,2,R-Example3,k1,2,165.1,39.269,0.0077485,0.0021027,,,,,,,,
M-73029,82,2,R-Example3,k1,3,463.8,39.258,0.0077491,0.002103,,,,,,,,
M-73029,82,2,R-Example3,k1,4,513.5,39.048,0.0077486,0.0021028,,,,,,,,
M-73029,82,2,R-Example3,k1,5,563.3,39.188,0.0077482,0.002103,,,,,,,,
M-73029,82,2,R-Example3,k1,6,611.1,39.062,0.0077475,0.0021028,,,,,,,,
M-73029,82,2,R-Example3,k1,7,1088.5,113.222,0.00775,0.0020974,1,WR305418,1.95E-10,1.326916,37.79976,0.003681,0.000387,0.002081
M-73030,83,3,R-Example3,a6,1,125.4,39.205,0.0077486,0.0021032,,,,,,,,
M-73030,83,3,R-Example3,a6,2,165.1,39.08,0.0077482,0.0021033,,,,,,,,
M-73030,83,3,R-Example3,a6,3,463.8,39.119,0.0077487,0.0021034,,,,,,,,
M-73030,83,3,R-Example3,a6,4,513.3,39.183,0.0077478,0.0021032,,,,,,,,
M-73030,83,3,R-Example3,a6,5,563.3,39.244,0.0077477,0.002103,,,,,,,,
M-73030,83,3,R-Example3,a6,6,613,39.194,0.0077475,0.0021028,,,,,,,,
M-73030,83,3,R-Example3,a6,7,1088.7,182.372,0.0077721,0.0020973,0.16,WR305419,1.37E-09,4.334988,37.70443,0.003692,0.000387,0.002081
M-73031,84,NewAcr,Check,i8,1,125.4,39.129,0.0077485,0.002103,,,,,,,,
M-73031,84,NewAcr,Check,i8,2,153,39.104,0.0077478,0.0021027,,,,,,,,
M-73031,84,NewAcr,Check,i8,3,463.8,39.032,0.0077487,0.0021031,,,,,,,,
M-73031,84,NewAcr,Check,i8,4,513.5,38.941,0.0077475,0.0021027,,,,,,,,
M-73031,84,NewAcr,Check,i8,5,559.7,39.05,0.0077476,0.0021028,,,,,,,,
M-73031,84,NewAcr,Check,i8,6,612.2,38.937,0.0077475,0.0021028,,,,,,,,
M-73031,84,NewAcr,Check,i8,7,1089.3,121.007,0.0081759,0.0021653,0.02,,1.66E-08,58.39242,70.75578,0.003891,0.000394,0.002147
M-73032,85,4,R-Example3,g4,1,125.4,38.958,0.0077473,0.0021028,,,,,,,,
M-73032,85,4,R-Example3,g4,2,165.1,39.079,0.0077472,0.0021027,,,,,,,,
M-73032,85,4,R-Example3,g4,3,463.8,39.129,0.0077488,0.0021032,,,,,,,,
M-73032,85,4,R-Example3,g4,4,513.3,39.106,0.0077485,0.0021032,,,,,,,,
M-73032,85,4,R-Example3,g4,5,563.3,39.113,0.0077478,0.0021031,,,,,,,,
M-73032,85,4,R-Example3,g4,6,613,39.046,0.0077475,0.0021028,,,,,,,,
M-73032,85,4,R-Example3,g4,7,1088.5,253.502,0.0076679,0.0020824,0.42,WR305420,7.88E-10,-9.64678,30.48695,0.003641,0.000386,0.002066
M-73033,86,5,R-Example3,k10,1,125.4,39.186,0.0077485,0.0021031,,,,,,,,
M-73033,86,5,R-Example3,k10,2,165.1,39.287,0.007748,0.0021029,,,,,,,,
M-73033,86,5,R-Example3,k10,3,463.8,39.284,0.0077491,0.0021034,,,,,,,,
M-73033,86,5,R-Example3,k10,4,513.3,39.312,0.0077486,0.0021033,,,,,,,,
M-73033,86,5,R-Example3,k10,5,561.2,39.315,0.0077481,0.0021031,,,,,,,,
M-73033,86,5,R-Example3,k10,6,613,39.036,0.0077475,0.0021028,,,,,,,,
M-73033,86,5,R-Example3,k10,7,1088.9,118.883,0.007775,0.0020918,0.56,WR305421,4.05E-09,4.801424,34.9552,0.003694,0.000387,0.002075
M-73034,87,6,R-Example3,p9,1,125.4,39.432,0.007749,0.0021032,,,,,,,,
M-73034,87,6,R-Example3,p9,2,165.1,39.537,0.0077489,0.0021032,,,,,,,,
M-73034,87,6,R-Example3,p9,3,463.8,39.5,0.0077486,0.0021032,,,,,,,,
M-73034,87,6,R-Example3,p9,4,512.7,39.495,0.0077482,0.002103,,,,,,,,
M-73034,87,6,R-Example3,p9,5,563.3,39.42,0.0077476,0.002103,,,,,,,,
M-73034,87,6,R-Example3,p9,6,613,39.454,0.0077475,0.0021028,,,,,,,,
M-73034,87,6,R-Example3,p9,7,1089.7,120.157,0.0077499,0.0020973,1,WR305422,2.46E-10,1.314617,37.75008,0.003681,0.000387,0.002081
M-73035,88,6 rep,R-Example3,f6,1,125.2,39.268,0.0077479,0.0021032,,,,,,,,
M-73035,88,6 rep,R-Example3,f6,2,165.1,39.432,0.0077477,0.0021029,,,,,,,,
M-73035,88,6 rep,R-Example3,f6,3,463.8,39.53,0.0077482,0.0021031,,,,,,,,
M-73035,88,6 rep,R-Example3,f6,4,513.3,39.567,0.0077481,0.0021028,,,,,,,,
M-73035,88,6 rep,R-Example3,f6,5,563.3,39.581,0.007748,0.002103,,,,,,,,
M-73035,88,6 rep,R-Example3,f6,6,613,39.49,0.0077475,0.0021028,,,,,,,,
M-73035,88,6 rep,R-Example3,f6,7,1089.3,118.81,0.0077522,0.0020975,1,WR305422,2.25E-09,1.624952,37.84413,0.003682,0.000387,0.002081
M-73036,89,7,R-Example3,a10,1,125.4,39.443,0.0077478,0.0021029,,,,,,,,
M-73036,89,7,R-Example3,a10,2,165.1,39.527,0.0077477,0.0021029,,,,,,,,
M-73036,89,7,R-Example3,a10,3,461.5,39.389,0.0077484,0.002103,,,,,,,,
M-73036,89,7,R-Example3,a10,4,513.5,39.431,0.0077474,0.0021029,,,,,,,,
M-73036,89,7,R-Example3,a10,5,560.3,39.544,0.0077474,0.0021028,,,,,,,,
M-73036,89,7,R-Example3,a10,6,613,39.414,0.0077475,0.0021028,,,,,,,,
M-73036,89,7,R-Example3,a10,7,1091.4,154.153,0.0077519,0.0020885,1,WR305423,2.60E-07,1.705121,33.22926,0.003683,0.000386,0.002072
M-73037,90,N3 70uM,Lin,m3,1,125.4,39.452,0.0077483,0.0021032,,,,,,,,
M-73037,90,N3 70uM,Lin,m3,2,165.1,39.555,0.0077477,0.0021028,,,,,,,,
M-73037,90,N3 70uM,Lin,m3,3,463.8,39.475,0.0077482,0.002103,,,,,,,,
M-73037,90,N3 70uM,Lin,m3,4,510,39.373,0.0077478,0.002103,,,,,,,,
M-73037,90,N3 70uM,Lin,m3,5,563.3,39.5,0.007748,0.002103,,,,,,,,
M-73037,90,N3 70uM,Lin,m3,6,613,39.403,0.0077475,0.0021028,,,,,,,,
M-73037,90,N3 70uM,Lin,m3,7,1088.3,252.155,0.0077865,0.0021588,1,,2.38E-07,5.499952,68.2175,0.003697,0.000393,0.002142
M-73038,91,N3 50uM,Lin,k8,1,125.4,39.419,0.0077482,0.0021027,,,,,,,,
M-73038,91,N3 50uM,Lin,k8,2,163.9,39.616,0.0077479,0.0021028,,,,,,,,
M-73038,91,N3 50uM,Lin,k8,3,462.7,39.581,0.0077486,0.002103,,,,,,,,
M-73038,91,N3 50uM,Lin,k8,4,513.5,39.596,0.0077484,0.0021029,,,,,,,,
M-73038,91,N3 50uM,Lin,k8,5,563.3,39.608,0.0077481,0.0021029,,,,,,,,
M-73038,91,N3 50uM,Lin,k8,6,613,39.466,0.0077475,0.0021028,,,,,,,,
M-73038,91,N3 50uM,Lin,k8,7,1088.5,179.703,0.0077848,0.0021543,1,,2.86E-08,5.323919,66.08215,0.003696,0.000393,0.002138
M-73039,92,N3 35uM,Lin,c4,1,125.4,39.399,0.0077479,0.002103,,,,,,,,
M-73039,92,N3 35uM,Lin,c4,2,162.2,39.65,0.0077481,0.0021031,,,,,,,,
M-73039,92,N3 35uM,Lin,c4,3,463.8,39.561,0.0077494,0.0021032,,,,,,,,
M-73039,92,N3 35uM,Lin,c4,4,513.5,39.491,0.0077484,0.0021029,,,,,,,,
M-73039,92,N3 35uM,Lin,c4,5,563.3,39.529,0.0077484,0.0021028,,,,,,,,
M-73039,92,N3 35uM,Lin,c4,6,613,39.364,0.0077475,0.0021028,,,,,,,,
M-73039,92,N3 35uM,Lin,c4,7,1088.9,125.078,0.0077835,0.0021544,1,,2.80E-08,5.145756,66.13494,0.003695,0.000393,0.002138
M-73040,93,N3 25uM,Lin,o8,1,125.4,39.351,0.0077474,0.0021031,,,,,,,,
M-73040,93,N3 25uM,Lin,o8,2,165.1,39.459,0.0077471,0.0021028,,,,,,,,
M-73040,93,N3 25uM,Lin,o8,3,463.8,39.446,0.007749,0.0021032,,,,,,,,
M-73040,93,N3 25uM,Lin,o8,4,513.3,39.431,0.0077485,0.002103,,,,,,,,
M-73040,93,N3 25uM,Lin,o8,5,563,39.331,0.0077482,0.0021031,,,,,,,,
M-73040,93,N3 25uM,Lin,o8,6,613,39.374,0.0077475,0.0021028,,,,,,,,
M-73040,93,N3 25uM,Lin,o8,7,1088.7,87.331,0.0077818,0.0021533,1,,9.19E-09,4.928401,65.59938,0.003695,0.000393,0.002137
M-73041,94,N3 10uM,Lin,k2,1,125.4,39.316,0.0077481,0.0021031,,,,,,,,
M-73041,94,N3 10uM,Lin,k2,2,165.1,39.451,0.0077479,0.002103,,,,,,,,
M-73041,94,N3 10uM,Lin,k2,3,463.8,39.361,0.0077481,0.0021032,,,,,,,,
M-73041,94,N3 10uM,Lin,k2,4,513.5,39.462,0.0077482,0.0021031,,,,,,,,
M-73041,94,N3 10uM,Lin,k2,5,563.3,39.58,0.0077485,0.0021032,,,,,,,,
M-73041,94,N3 10uM,Lin,k2,6,613,39.493,0.0077475,0.0021028,,,,,,,,
M-73041,94,N3 10uM,Lin,k2,7,1090.4,34.401,0.0077804,0.0021542,1,,2.89E-08,4.726585,66.04109,0.003694,0.000393,0.002138
M-73042,95,N3 7uM,Lin,a1,1,125.4,39.425,0.0077493,0.0021032,,,,,,,,
M-73042,95,N3 7uM,Lin,a1,2,163.4,39.491,0.0077489,0.0021031,,,,,,,,
M-73042,95,N3 7uM,Lin,a1,3,463.8,39.489,0.007749,0.0021032,,,,,,,,
M-73042,95,N3 7uM,Lin,a1,4,511.4,39.597,0.0077483,0.0021031,,,,,,,,
M-73042,95,N3 7uM,Lin,a1,5,563.3,39.623,0.0077483,0.002103,,,,,,,,
M-73042,95,N3 7uM,Lin,a1,6,613,39.493,0.0077475,0.0021028,,,,,,,,
M-73042,95,N3 7uM,Lin,a1,7,1089.1,24.4,0.0077809,0.0021545,1,,2.72E-08,4.790723,66.19048,0.003694,0.000393,0.002138
M-73043,96,N3 6uM,Lin,n1,1,125.4,39.542,0.007749,0.0021032,,,,,,,,
M-73043,96,N3 6uM,Lin,n1,2,165.1,39.687,0.0077481,0.002103,,,,,,,,
M-73043,96,N3 6uM,Lin,n1,3,463.8,39.767,0.0077485,0.0021031,,,,,,,,
M-73043,96,N3 6uM,Lin,n1,4,513.5,39.744,0.0077481,0.002103,,,,,,,,
M-73043,96,N3 6uM,Lin,n1,5,563.3,39.774,0.0077477,0.0021029,,,,,,,,
M-73043,96,N3 6uM,Lin,n1,6,613,39.659,0.0077475,0.0021028,,,,,,,,
M-73043,96,N3 6uM,Lin,n1,7,1090.4,20.288,0.0077837,0.0021543,1,,2.85E-08,5.174262,66.0844,0.003696,0.000393,0.002138
M-73044,97,N3 5uM,Lin,j7,1,125.4,39.432,0.0077486,0.0021033,,,,,,,,
M-73044,97,N3 5uM,Lin,j7,2,164.3,39.543,0.0077479,0.0021029,,,,,,,,
M-73044,97,N3 5uM,Lin,j7,3,463.8,39.484,0.0077489,0.0021033,,,,,,,,
M-73044,97,N3 5uM,Lin,j7,4,513.3,39.45,0.007748,0.002103,,,,,,,,
M-73044,97,N3 5uM,Lin,j7,5,561.4,39.52,0.0077479,0.002103,,,,,,,,
M-73044,97,N3 5uM,Lin,j7,6,613,39.429,0.0077475,0.0021028,,,,,,,,
M-73044,97,N3 5uM,Lin,j7,7,1089.5,17.985,0.0077823,0.0021527,1,,1.36E-08,5.004218,65.29703,0.003695,0.000393,0.002136
M-73045,98,N3 4uM,Lin,g3,1,124.1,39.344,0.0077482,0.0021032,,,,,,,,
M-73045,98,N3 4uM,Lin,g3,2,165.1,39.557,0.007748,0.002103,,,,,,,,
M-73045,98,N3 4uM,Lin,g3,3,461.7,39.454,0.0077486,0.0021033,,,,,,,,
M-73045,98,N3 4uM,Lin,g3,4,511.8,39.463,0.0077479,0.0021032,,,,,,,,
M-73045,98,N3 4uM,Lin,g3,5,563.3,39.499,0.0077483,0.002103,,,,,,,,
M-73045,98,N3 4uM,Lin,g3,6,613,39.341,0.0077475,0.0021028,,,,,,,,
M-73045,98,N3 4uM,Lin,g3,7,1089.3,14.059,0.0077833,0.0021525,1,,4.22E-09,5.142726,65.19996,0.003695,0.000392,0.002136
M-73046,99,N3 2uM,Lin,p5,1,125.4,39.277,0.0077479,0.0021032,,,,,,,,
M-73046,99,N3 2uM,Lin,p5,2,165.1,39.439,0.0077475,0.0021032,,,,,,,,
M-73046,99,N3 2uM,Lin,p5,3,463.8,39.42,0.0077479,0.0021031,,,,,,,,
M-73046,99,N3 2uM,Lin,p5,4,512,39.439,0.0077477,0.0021032,,,,,,,,
M-73046,99,N3 2uM,Lin,p5,5,563.3,39.454,0.0077481,0.0021031,,,,,,,,
M-73046,99,N3 2uM,Lin,p5,6,613,39.322,0.0077475,0.0021028,,,,,,,,
M-73046,99,N3 2uM,Lin,p5,7,1089.1,7.243,0.0077867,0.0021529,1,,2.54E-09,5.600124,65.39329,0.003697,0.000393,0.002136
M-73047,100,Acros 1ml,HS-Drift,e2,1,125.4,39.313,0.007749,0.0021032,,,,,,,,
M-73047,100,Acros 1ml,HS-Drift,e2,2,165.1,39.482,0.0077485,0.0021029,,,,,,,,
M-73047,100,Acros 1ml,HS-Drift,e2,3,463.8,39.462,0.0077483,0.0021031,,,,,,,,
M-73047,100,Acros 1ml,HS-Drift,e2,4,511.4,39.51,0.0077476,0.0021031,,,,,,,,
M-73047,100,Acros 1ml,HS-Drift,e2,5,562.8,39.547,0.0077475,0.0021029,,,,,,,,
M-73047,100,Acros 1ml,HS-Drift,e2,6,611.5,39.491,0.0077475,0.0021028,,,,,,,,
M-73047,100,Acros 1ml,HS-Drift,e2,7,1087.6,179.038,0.0078551,0.0021557,1,,1.12E-08,14.8701,66.64487,0.003731,0.000393,0.002139
M-73048,101,8,R-Example3,m4,1,125.4,39.488,0.0077494,0.0021037,,,,,,,,
M-73048,101,8,R-Example3,m4,2,165.1,39.617,0.0077488,0.0021035,,,,,,,,
M-73048,101,8,R-Example3,m4,3,463.8,39.604,0.0077497,0.0021037,,,,,,,,
M-73048,101,8,R-Example3,m4,4,513.3,39.556,0.0077489,0.0021035,,,,,,,,
M-73048,101,8,R-Example3,m4,5,563.3,39.619,0.0077486,0.0021034,,,,,,,,
M-73048,101,8,R-Example3,m4,6,613,39.418,0.0077475,0.0021028,,,,,,,,
M-73048,101,8,R-Example3,m4,7,1088.1,119.703,0.0077596,0.0020878,1.3,WR305424,1.83E-07,2.760872,32.90311,0.003687,0.000386,0.002071
M-73049,102,9,R-Example3,o9,1,125.4,39.446,0.007748,0.0021029,,,,,,,,
M-73049,102,9,R-Example3,o9,2,164.5,39.642,0.0077476,0.0021028,,,,,,,,
M-73049,102,9,R-Example3,o9,3,463.8,39.477,0.0077483,0.002103,,,,,,,,
M-73049,102,9,R-Example3,o9,4,513.5,39.484,0.0077475,0.0021029,,,,,,,,
M-73049,102,9,R-Example3,o9,5,562.8,39.455,0.0077475,0.0021027,,,,,,,,
M-73049,102,9,R-Example3,o9,6,613,39.469,0.0077475,0.0021028,,,,,,,,
M-73049,102,9,R-Example3,o9,7,1089.9,3.053,0.0078476,0.002143,2,WR305425,9.47E-09,14.01353,60.3296,0.003728,0.000392,0.002126
M-73050,103,10,R-Example3,j6,1,125.4,39.371,0.0077483,0.0021031,,,,,,,,
M-73050,103,10,R-Example3,j6,2,165.1,39.554,0.0077475,0.002103,,,,,,,,
M-73050,103,10,R-Example3,j6,3,463.8,39.49,0.0077478,0.0021031,,,,,,,,
M-73050,103,10,R-Example3,j6,4,513.5,39.482,0.0077479,0.0021031,,,,,,,,
M-73050,103,10,R-Example3,j6,5,563.3,39.482,0.0077473,0.0021029,,,,,,,,
M-73050,103,10,R-Example3,j6,6,611.3,39.464,0.0077475,0.0021028,,,,,,,,
M-73050,103,10,R-Example3,j6,7,1087.4,3.187,0.0078568,0.0021429,2,WR305426,1.70E-09,15.2664,60.26471,0.003733,0.000392,0.002126
M-73051,104,10 rep,R-Example3,c2,1,125.4,39.418,0.0077495,0.0021033,,,,,,,,
M-73051,104,10 rep,R-Example3,c2,2,165.1,39.662,0.0077488,0.0021031,,,,,,,,
M-73051,104,10 rep,R-Example3,c2,3,463.8,39.542,0.0077489,0.0021033,,,,,,,,
M-73051,104,10 rep,R-Example3,c2,4,513.5,39.487,0.0077485,0.002103,,,,,,,,
M-73051,104,10 rep,R-Example3,c2,5,563.3,39.627,0.0077485,0.0021032,,,,,,,,
M-73051,104,10 rep,R-Example3,c2,6,613,39.524,0.0077475,0.0021028,,,,,,,,
M-73051,104,10 rep,R-Example3,c2,7,1088.7,3.118,0.0078751,0.0021444,2,WR305426,3.92E-09,17.73681,60.97376,0.003742,0.000392,0.002127
M-73052,105,11,R-Example3,g2,1,125.4,39.468,0.0077477,0.0021033,,,,,,,,
M-73052,105,11,R-Example3,g2,2,165.1,39.669,0.007748,0.0021031,,,,,,,,
M-73052,105,11,R-Example3,g2,3,463.8,39.58,0.0077484,0.0021032,,,,,,,,
M-73052,105,11,R-Example3,g2,4,513.5,39.584,0.0077478,0.0021031,,,,,,,,
M-73052,105,11,R-Example3,g2,5,563.3,39.566,0.0077472,0.002103,,,,,,,,
M-73052,105,11,R-Example3,g2,6,613,39.489,0.0077475,0.0021028,,,,,,,,
M-73052,105,11,R-Example3,g2,7,1089.1,108.066,0.0078859,0.0021134,0.09,WR305443,2.18E-08,19.60822,45.48773,0.003749,0.000389,0.002096
M-73053,106,12,R-Example3,m9,1,125.4,39.508,0.0077482,0.0021031,,,,,,,,
M-73053,106,12,R-Example3,m9,2,165.1,39.62,0.0077477,0.0021029,,,,,,,,
M-73053,106,12,R-Example3,m9,3,463.8,39.528,0.0077479,0.0021032,,,,,,,,
M-73053,106,12,R-Example3,m9,4,513.5,39.438,0.007748,0.0021029,,,,,,,,
M-73053,106,12,R-Example3,m9,5,563.3,39.54,0.007748,0.0021032,,,,,,,,
M-73053,106,12,R-Example3,m9,6,613,39.294,0.0077475,0.0021028,,,,,,,,
M-73053,106,12,R-Example3,m9,7,1089.7,114.635,0.0078811,0.0021282,0.09,WR305446,1.18E-08,18.76285,52.88102,0.003745,0.00039,0.002111
M-73054,107,Fisher,Check,f10,1,125.4,39.643,0.0077479,0.0021031,,,,,,,,
M-73054,107,Fisher,Check,f10,2,165.1,39.601,0.0077474,0.0021028,,,,,,,,
M-73054,107,Fisher,Check,f10,3,463.8,39.546,0.0077483,0.0021032,,,,,,,,
M-73054,107,Fisher,Check,f10,4,513.5,39.535,0.0077484,0.0021032,,,,,,,,
M-73054,107,Fisher,Check,f10,5,563.3,39.627,0.0077484,0.0021034,,,,,,,,
M-73054,107,Fisher,Check,f10,6,613,39.407,0.0077475,0.0021028,,,,,,,,
M-73054,107,Fisher,Check,f10,7,1089.3,146.236,0.0077182,0.0021488,1,,2.73E-08,-3.66621,63.47598,0.003663,0.000392,0.002132
M-73055,108,13,R-Example3,h1,1,125.4,39.546,0.0077496,0.0021033,,,,,,,,
M-73055,108,13,R-Example3,h1,2,165.3,39.619,0.0077488,0.0021029,,,,,,,,
M-73055,108,13,R-Example3,h1,3,463.8,39.733,0.0077499,0.0021035,,,,,,,,
M-73055,108,13,R-Example3,h1,4,513.5,39.601,0.007749,0.002103,,,,,,,,
M-73055,108,13,R-Example3,h1,5,563.3,39.747,0.0077485,0.0021031,,,,,,,,
M-73055,108,13,R-Example3,h1,6,613,39.559,0.0077475,0.0021028,,,,,,,,
M-73055,108,13,R-Example3,h1,7,1089.1,106.165,0.0078906,0.0021153,0.54,WR305448,1.05E-08,20.22281,46.43087,0.003751,0.000389,0.002098
M-73056,109,14,R-Example3,j8,1,125.4,39.692,0.0077477,0.0021029,,,,,,,,
M-73056,109,14,R-Example3,j8,2,165.1,39.784,0.0077473,0.002103,,,,,,,,
M-73056,109,14,R-Example3,j8,3,463.8,39.716,0.0077478,0.0021029,,,,,,,,
M-73056,109,14,R-Example3,j8,4,513.3,39.68,0.0077479,0.0021028,,,,,,,,
M-73056,109,14,R-Example3,j8,5,563.3,39.753,0.0077475,0.0021028,,,,,,,,
M-73056,109,14,R-Example3,j8,6,613,39.634,0.0077475,0.0021028,,,,,,,,
M-73056,109,14,R-Example3,j8,7,1088.9,3.836,0.007844,0.0021427,2,WR305449,8.07E-10,13.52751,60.19175,0.003726,0.000392,0.002126
M-73057,110,15,R-Example3,h10,1,125.2,39.483,0.0077483,0.0021032,,,,,,,,
M-73057,110,15,R-Example3,h10,2,165.1,39.673,0.0077482,0.002103,,,,,,,,
M-73057,110,15,R-Example3,h10,3,463.8,39.556,0.0077485,0.0021032,,,,,,,,
M-73057,110,15,R-Example3,h10,4,513.3,39.593,0.0077483,0.0021031,,,,,,,,
M-73057,110,15,R-Example3,h10,5,563.3,39.632,0.0077478,0.0021029,,,,,,,,
M-73057,110,15,R-Example3,h10,6,613,39.566,0.0077475,0.0021028,,,,,,,,
M-73057,110,15,R-Example3,h10,7,1088.9,3.484,0.0078381,0.002138,2,WR305450,1.36E-07,12.7873,57.7934,0.003724,0.000391,0.002121
M-73058,111,16,R-Example3,l2,1,125.4,39.496,0.0077488,0.0021033,,,,,,,,
M-73058,111,16,R-Example3,l2,2,165.1,39.687,0.0077483,0.0021032,,,,,,,,
M-73058,111,16,R-Example3,l2,3,463.8,39.591,0.0077484,0.0021031,,,,,,,,
M-73058,111,16,R-Example3,l2,4,513.5,39.643,0.0077482,0.002103,,,,,,,,
M-73058,111,16,R-Example3,l2,5,563.3,39.734,0.0077477,0.002103,,,,,,,,
